DI49_0001	XP_018224050.1
DI49_1809	XP_018222076.1
DI49_1810	XP_018222077.1
DI49_1811	XP_018222078.1
DI49_1812	XP_018222079.1
DI49_1813	XP_018222080.1
DI49_1814	XP_018222081.1
DI49_1815	XP_018222082.1
DI49_1816	XP_018222083.1
DI49_1817	XP_018222084.1
DI49_1819	XP_018222085.1
DI49_1820	XP_018222086.1
DI49_1821	XP_018222087.1
DI49_1822	XP_018222088.1
DI49_1823	XP_018222089.1
DI49_1824	XP_018222090.1
DI49_1825	XP_018222091.1
DI49_1826	XP_018222092.1
DI49_1827	XP_018222093.1
DI49_1828	XP_018222094.1
DI49_1829	XP_018222095.1
DI49_1830	XP_018222096.1
DI49_1831	XP_018222097.1
DI49_1832	XP_018222098.1
DI49_1833	XP_018222099.1
DI49_1834	XP_018222100.1
DI49_1835	XP_018222101.1
DI49_1836	XP_018222102.1
DI49_1837	XP_018222103.1
DI49_1838	XP_018222104.1
DI49_1838	XP_018222104.1
DI49_1839	XP_018222105.1
DI49_1840	XP_018222106.1
DI49_1841	XP_018222107.1
DI49_1842	XP_018222108.1
DI49_1843	XP_018222109.1
DI49_1844	XP_018222110.1
DI49_1845	XP_018222111.1
DI49_1846	XP_018222112.1
DI49_1847	XP_018222113.1
DI49_1848	XP_018222114.1
DI49_1849	XP_018222115.1
DI49_1850	XP_018222116.1
DI49_1851	XP_018222117.1
DI49_1852	XP_018222118.1
DI49_1853	XP_018222119.1
DI49_1854	XP_018222120.1
DI49_1855	XP_018222121.1
DI49_1857	XP_018222122.1
DI49_1858	XP_018222123.1
DI49_1859	XP_018222124.1
DI49_1860	XP_018222125.1
DI49_1861	XP_018222126.1
DI49_1862	XP_018222127.1
DI49_1863	XP_018222128.1
DI49_1864	XP_018222129.1
DI49_1865	XP_018222130.1
DI49_1866	XP_018222131.1
DI49_1867	XP_018222132.1
DI49_1868	XP_018222133.1
DI49_1869	XP_018222134.1
DI49_1870	XP_018222135.1
DI49_1870	XP_018222135.1
DI49_1871	XP_018222136.1
DI49_1872	XP_018222137.1
DI49_1873	XP_018222138.1
DI49_1874	XP_018222139.1
DI49_1876	XP_018222140.1
DI49_1877	XP_018222141.1
DI49_1878	XP_018222142.1
DI49_1880	XP_018222143.1
DI49_1881	XP_018222144.1
DI49_1882	XP_018222145.1
DI49_1883	XP_018222146.1
DI49_1884	XP_018222147.1
DI49_1885	XP_018222148.1
DI49_1886	XP_018222149.1
DI49_1887	XP_018222150.1
DI49_1888	XP_018222151.1
DI49_1889	XP_018222152.1
DI49_1890	XP_018222153.1
DI49_1891	XP_018222154.1
DI49_1892	XP_018222155.1
DI49_1893	XP_018222156.1
DI49_1894	XP_018222157.1
DI49_1895	XP_018222158.1
DI49_1896	XP_018222159.1
DI49_1897	XP_018222160.1
DI49_1898	XP_018222161.1
DI49_1899	XP_018222162.1
DI49_1900	XP_018222163.1
DI49_1901	XP_018222164.1
DI49_1902	XP_018222165.1
DI49_1903	XP_018222166.1
DI49_1904	XP_018222167.1
DI49_1905	XP_018222168.1
DI49_1906	XP_018222169.1
DI49_1906	XP_018222169.1
DI49_1907	XP_018222170.1
DI49_1908	XP_018222171.1
DI49_1909	XP_018222172.1
DI49_1910	XP_018222173.1
DI49_1911	XP_018222174.1
DI49_1912	XP_018222175.1
DI49_1913	XP_018222176.1
DI49_1914	XP_018222177.1
DI49_1917	XP_018222178.1
DI49_1918	XP_018222179.1
DI49_1919	XP_018222180.1
DI49_1920	XP_018222181.1
DI49_1922	XP_018222182.1
DI49_1923	XP_018222183.1
DI49_1924	XP_018222184.1
DI49_1925	XP_018222185.1
DI49_1926	XP_018222186.1
DI49_1928	XP_018222187.1
DI49_1929	XP_018222188.1
DI49_1930	XP_018222189.1
DI49_1931	XP_018222190.1
DI49_1932	XP_018222191.1
DI49_1934	XP_018222192.1
DI49_1935	XP_018222193.1
DI49_1936	XP_018222194.1
DI49_1937	XP_018222195.1
DI49_1938	XP_018222196.1
DI49_1940	XP_018222197.1
DI49_1941	XP_018222198.1
DI49_1942	XP_018222199.1
DI49_1943	XP_018222200.1
DI49_1944	XP_018222201.1
DI49_1945	XP_018222202.1
DI49_1946	XP_018222203.1
DI49_1947	XP_018222204.1
DI49_1948	XP_018222205.1
DI49_1949	XP_018222206.1
DI49_1950	XP_018222207.1
DI49_1951	XP_018222208.1
DI49_1951	XP_018222208.1
DI49_1952	XP_018222209.1
DI49_1953	XP_018222210.1
DI49_1954	XP_018222211.1
DI49_1955	XP_018222212.1
DI49_1956	XP_018222213.1
DI49_1957	XP_018222214.1
DI49_1958	XP_018222215.1
DI49_1959	XP_018222216.1
DI49_1960	XP_018222217.1
DI49_1961	XP_018222218.1
DI49_1962	XP_018222219.1
DI49_1963	XP_018222220.1
DI49_1964	XP_018222221.1
DI49_1965	XP_018222222.1
DI49_1966	XP_018222223.1
DI49_1967	XP_018222224.1
DI49_1968	XP_018222225.1
DI49_1969	XP_018222226.1
DI49_1970	XP_018222227.1
DI49_1971	XP_018222228.1
DI49_1972	XP_018222229.1
DI49_1973	XP_018222230.1
DI49_1974	XP_018222231.1
DI49_1975	XP_018222232.1
DI49_1976	XP_018222233.1
DI49_1977	XP_018222234.1
DI49_1978	XP_018222235.1
DI49_1979	XP_018222236.1
DI49_1980	XP_018222237.1
DI49_1981	XP_018222238.1
DI49_1982	XP_018222239.1
DI49_1983	XP_018222240.1
DI49_1984	XP_018222241.1
DI49_1985	XP_018222242.1
DI49_1987	XP_018222243.1
DI49_1988	XP_018222244.1
DI49_1989	XP_018222245.1
DI49_1991	XP_018222246.1
DI49_1993	XP_018222247.1
DI49_1994	XP_018222248.1
DI49_1995	XP_018222249.1
DI49_1996	XP_018222250.1
DI49_1997	XP_018222251.1
DI49_1997	XP_018222251.1
DI49_1998	XP_018222252.1
DI49_1999	XP_018222253.1
DI49_2000	XP_018222254.1
DI49_2001	XP_018222255.1
DI49_2003	XP_018222256.1
DI49_2004	XP_018222257.1
DI49_2005	XP_018222258.1
DI49_2006	XP_018222259.1
DI49_2007	XP_018222260.1
DI49_2008	XP_018222261.1
DI49_2009	XP_018222262.1
DI49_2010	XP_018222263.1
DI49_2011	XP_018222264.1
DI49_2012	XP_018222265.1
DI49_2013	XP_018222266.1
DI49_2014	XP_018222267.1
DI49_2015	XP_018222268.1
DI49_2016	XP_018222269.1
DI49_2017	XP_018222270.1
DI49_2018	XP_018222271.1
DI49_2019	XP_018222272.1
DI49_2020	XP_018222273.1
DI49_2021	XP_018222274.1
DI49_2022	XP_018222275.1
DI49_2023	XP_018222276.1
DI49_2024	XP_018222277.1
DI49_2025	XP_018222278.1
DI49_2026	XP_018222279.1
DI49_2027	XP_018222280.1
DI49_2028	XP_018222281.1
DI49_2029	XP_018222282.1
DI49_2030	XP_018222283.1
DI49_2031	XP_018222284.1
DI49_2032	XP_018222285.1
DI49_2033	XP_018222286.1
DI49_2034	XP_018222287.1
DI49_2035	XP_018222288.1
DI49_2036	XP_018222289.1
DI49_2037	XP_018222290.1
DI49_2038	XP_018222291.1
DI49_2039	XP_018222292.1
DI49_2040	XP_018222293.1
DI49_2041	XP_018222294.1
DI49_2042	XP_018222295.1
DI49_2043	XP_018222296.1
DI49_2044	XP_018222297.1
DI49_2045	XP_018222298.1
DI49_2046	XP_018222299.1
DI49_2047	XP_018222300.1
DI49_2049	XP_018222301.1
DI49_2050	XP_018222302.1
DI49_2051	XP_018222303.1
DI49_2052	XP_018222304.1
DI49_2053	XP_018222305.1
DI49_2054	XP_018222306.1
DI49_2055	XP_018222307.1
DI49_2056	XP_018222308.1
DI49_2057	XP_018222309.1
DI49_2058	XP_018222310.1
DI49_2059	XP_018222311.1
DI49_2060	XP_018222312.1
DI49_2061	XP_018222313.1
DI49_2062	XP_018222314.1
DI49_2063	XP_018222315.1
DI49_2064	XP_018222316.1
DI49_2065	XP_018222317.1
DI49_2068	XP_018222318.1
DI49_2069	XP_018222319.1
DI49_2071	XP_018222320.1
DI49_2072	XP_018222321.1
DI49_2073	XP_018222322.1
DI49_2074	XP_018222323.1
DI49_2075	XP_018222324.1
DI49_2076	XP_018222325.1
DI49_2077	XP_018222326.1
DI49_2077	XP_018222326.1
DI49_2078	XP_018222327.1
DI49_2079	XP_018222328.1
DI49_2081	XP_018222329.1
DI49_2082	XP_018222330.1
DI49_2084	XP_018222331.1
DI49_2086	XP_018222332.1
DI49_2087	XP_018222333.1
DI49_2088	XP_018222334.1
DI49_2089	XP_018222335.1
DI49_2090	XP_018222336.1
DI49_2091	XP_018222337.1
DI49_2092	XP_018222338.1
DI49_2093	XP_018222339.1
DI49_2094	XP_018222340.1
DI49_2095	XP_018222341.1
DI49_2096	XP_018222342.1
DI49_2097	XP_018222343.1
DI49_2098	XP_018222344.1
DI49_2099	XP_018222345.1
DI49_2100	XP_018222346.1
DI49_2101	XP_018222347.1
DI49_2102	XP_018222348.1
DI49_2103	XP_018222349.1
DI49_2105	XP_018222350.1
DI49_2107	XP_018222351.1
DI49_2108	XP_018222352.1
DI49_2109	XP_018222353.1
DI49_2110	XP_018222354.1
DI49_2111	XP_018222355.1
DI49_2112	XP_018222356.1
DI49_2113	XP_018222357.1
DI49_2114	XP_018222358.1
DI49_2116	XP_018222359.1
DI49_2117	XP_018222360.1
DI49_2118	XP_018222361.1
DI49_2119	XP_018222362.1
DI49_2120	XP_018222363.1
DI49_2121	XP_018222364.1
DI49_2122	XP_018222365.1
DI49_2123	XP_018222366.1
DI49_2124	XP_018222367.1
DI49_2126	XP_018222368.1
DI49_2127	XP_018222369.1
DI49_2129	XP_018222370.1
DI49_2130	XP_018222371.1
DI49_2131	XP_018222372.1
DI49_2132	XP_018222373.1
DI49_2133	XP_018222374.1
DI49_2134	XP_018222375.1
DI49_2135	XP_018222376.1
DI49_2136	XP_018222377.1
DI49_2137	XP_018222378.1
DI49_2138	XP_018222379.1
DI49_2140	XP_018222380.1
DI49_2141	XP_018222381.1
DI49_2142	XP_018222382.1
DI49_2143	XP_018222383.1
DI49_2144	XP_018222384.1
DI49_2145	XP_018222385.1
DI49_2146	XP_018222386.1
DI49_2148	XP_018222387.1
DI49_2149	XP_018222388.1
DI49_2150	XP_018222389.1
DI49_2151	XP_018222390.1
DI49_2152	XP_018222391.1
DI49_2153	XP_018222392.1
DI49_2154	XP_018222393.1
DI49_2156	XP_018222394.1
DI49_2158	XP_018222395.1
DI49_2159	XP_018222396.1
DI49_2160	XP_018222397.1
DI49_2161	XP_018222398.1
DI49_2162	XP_018222399.1
DI49_2163	XP_018222400.1
DI49_2164	XP_018222401.1
DI49_2165	XP_018222402.1
DI49_2166	XP_018222403.1
DI49_2167	XP_018222404.1
DI49_2168	XP_018222405.1
DI49_2169	XP_018222406.1
DI49_2170	XP_018222407.1
DI49_2171	XP_018222408.1
DI49_2172	XP_018222409.1
DI49_2173	XP_018222410.1
DI49_2174	XP_018222411.1
DI49_2175	XP_018222412.1
DI49_2176	XP_018222413.1
DI49_2177	XP_018222414.1
DI49_2178	XP_018222415.1
DI49_2179	XP_018222416.1
DI49_2180	XP_018222417.1
DI49_2181	XP_018222418.1
DI49_2181	XP_018222418.1
DI49_2182	XP_018222419.1
DI49_2183	XP_018222420.1
DI49_2184	XP_018222421.1
DI49_2186	XP_018222422.1
DI49_2187	XP_018222423.1
DI49_2188	XP_018222424.1
DI49_2189	XP_018222425.1
DI49_2190	XP_018222426.1
DI49_2191	XP_018222427.1
DI49_2192	XP_018222428.1
DI49_2193	XP_018222429.1
DI49_2194	XP_018222430.1
DI49_2195	XP_018222431.1
DI49_2196	XP_018222432.1
DI49_2197	XP_018222433.1
DI49_2198	XP_018222434.1
DI49_2199	XP_018222435.1
DI49_2200	XP_018222436.1
DI49_2201	XP_018222437.1
DI49_2202	XP_018222438.1
DI49_2203	XP_018222439.1
DI49_2204	XP_018222440.1
DI49_2205	XP_018222441.1
DI49_2206	XP_018222442.1
DI49_2207	XP_018222443.1
DI49_2208	XP_018222444.1
DI49_2209	XP_018222445.1
DI49_2210	XP_018222446.1
DI49_2211	XP_018222447.1
DI49_2212	XP_018222448.1
DI49_2213	XP_018222449.1
DI49_2214	XP_018222450.1
DI49_2215	XP_018222451.1
DI49_2216	XP_018222452.1
DI49_2217	XP_018222453.1
DI49_2218	XP_018222454.1
DI49_2219	XP_018222455.1
DI49_2221	XP_018222456.1
DI49_2222	XP_018222457.1
DI49_2223	XP_018222458.1
DI49_2224	XP_018222459.1
DI49_2225	XP_018222460.1
DI49_2226	XP_018222461.1
DI49_2227	XP_018222462.1
DI49_2228	XP_018222463.1
DI49_2229	XP_018222464.1
DI49_2230	XP_018222465.1
DI49_2231	XP_018222466.1
DI49_2232	XP_018222467.1
DI49_2233	XP_018222468.1
DI49_2234	XP_018222469.1
DI49_2235	XP_018222470.1
DI49_2236	XP_018222471.1
DI49_2237	XP_018222472.1
DI49_2238	XP_018222473.1
DI49_2239	XP_018222474.1
DI49_2240	XP_018222475.1
DI49_2241	XP_018222476.1
DI49_2242	XP_018222477.1
DI49_2243	XP_018222478.1
DI49_2244	XP_018222479.1
DI49_2245	XP_018222480.1
DI49_2246	XP_018222481.1
DI49_2247	XP_018222482.1
DI49_2248	XP_018222483.1
DI49_2249	XP_018222484.1
DI49_2250	XP_018222485.1
DI49_2251	XP_018222486.1
DI49_2252	XP_018222487.1
DI49_2253	XP_018222488.1
DI49_4804	XP_018219195.1
DI49_4805	XP_018219196.1
DI49_4806	XP_018219197.1
DI49_4807	XP_018219198.1
DI49_4808	XP_018219199.1
DI49_4809	XP_018219200.1
DI49_4810	XP_018219201.1
DI49_4811	XP_018219202.1
DI49_4812	XP_018219203.1
DI49_4813	XP_018219204.1
DI49_4814	XP_018219205.1
DI49_4815	XP_018219206.1
DI49_4816	XP_018219207.1
DI49_4817	XP_018219208.1
DI49_4818	XP_018219209.1
DI49_4819	XP_018219210.1
DI49_4820	XP_018219211.1
DI49_4821	XP_018219212.1
DI49_4822	XP_018219213.1
DI49_4823	XP_018219214.1
DI49_4824	XP_018219215.1
DI49_4826	XP_018219216.1
DI49_4827	XP_018219217.1
DI49_4828	XP_018219218.1
DI49_4829	XP_018219219.1
DI49_4830	XP_018219220.1
DI49_4831	XP_018219221.1
DI49_4832	XP_018219222.1
DI49_4833	XP_018219223.1
DI49_4834	XP_018219224.1
DI49_4835	XP_018219225.1
DI49_4836	XP_018219226.1
DI49_4837	XP_018219227.1
DI49_4838	XP_018219228.1
DI49_4839	XP_018219229.1
DI49_4841	XP_018219230.1
DI49_4842	XP_018219231.1
DI49_4843	XP_018219232.1
DI49_4844	XP_018219233.1
DI49_4845	XP_018219234.1
DI49_4846	XP_018219235.1
DI49_4847	XP_018219236.1
DI49_4847	XP_018219236.1
DI49_4848	XP_018219237.1
DI49_4849	XP_018219238.1
DI49_4849	XP_018219238.1
DI49_4850	XP_018219239.1
DI49_4851	XP_018219240.1
DI49_4852	XP_018219241.1
DI49_4853	XP_018219242.1
DI49_4854	XP_018219243.1
DI49_4856	XP_018219244.1
DI49_4857	XP_018219245.1
DI49_4858	XP_018219246.1
DI49_4859	XP_018219247.1
DI49_4860	XP_018219248.1
DI49_4861	XP_018219249.1
DI49_4861	XP_018219249.1
DI49_4862	XP_018219250.1
DI49_4863	XP_018219251.1
DI49_4865	XP_018219252.1
DI49_4866	XP_018219253.1
DI49_4867	XP_018219254.1
DI49_4868	XP_018219255.1
DI49_4869	XP_018219256.1
DI49_4870	XP_018219257.1
DI49_4871	XP_018219258.1
DI49_4872	XP_018219259.1
DI49_4873	XP_018219260.1
DI49_4874	XP_018219261.1
DI49_4875	XP_018219262.1
DI49_4876	XP_018219263.1
DI49_4877	XP_018219264.1
DI49_4878	XP_018219265.1
DI49_4879	XP_018219266.1
DI49_4880	XP_018219267.1
DI49_4881	XP_018219268.1
DI49_4882	XP_018219269.1
DI49_4883	XP_018219270.1
DI49_4884	XP_018219271.1
DI49_4885	XP_018219272.1
DI49_4886	XP_018219273.1
DI49_4887	XP_018219274.1
DI49_4888	XP_018219275.1
DI49_4889	XP_018219276.1
DI49_4890	XP_018219277.1
DI49_4891	XP_018219278.1
DI49_4892	XP_018219279.1
DI49_4893	XP_018219280.1
DI49_4894	XP_018219281.1
DI49_4895	XP_018219282.1
DI49_4896	XP_018219283.1
DI49_4897	XP_018219284.1
DI49_4898	XP_018219285.1
DI49_4899	XP_018219286.1
DI49_4901	XP_018219287.1
DI49_4902	XP_018219288.1
DI49_4903	XP_018219289.1
DI49_4904	XP_018219290.1
DI49_4905	XP_018219291.1
DI49_4906	XP_018219292.1
DI49_4907	XP_018219293.1
DI49_4908	XP_018219294.1
DI49_4909	XP_018219295.1
DI49_4910	XP_018219296.1
DI49_4911	XP_018219297.1
DI49_4912	XP_018219298.1
DI49_4913	XP_018219299.1
DI49_4915	XP_018219300.1
DI49_4916	XP_018219301.1
DI49_4917	XP_018219302.1
DI49_4918	XP_018219303.1
DI49_4919	XP_018219304.1
DI49_4920	XP_018219305.1
DI49_4921	XP_018219306.1
DI49_4922	XP_018219307.1
DI49_4923	XP_018219308.1
DI49_4924	XP_018219309.1
DI49_4926	XP_018219310.1
DI49_4927	XP_018219311.1
DI49_4928	XP_018219312.1
DI49_4929	XP_018219313.1
DI49_4930	XP_018219314.1
DI49_4931	XP_018219315.1
DI49_4932	XP_018219316.1
DI49_4933	XP_018219317.1
DI49_4934	XP_018219318.1
DI49_4934	XP_018219318.1
DI49_4935	XP_018219319.1
DI49_4936	XP_018219320.1
DI49_4937	XP_018219321.1
DI49_4938	XP_018219322.1
DI49_4939	XP_018219323.1
DI49_4940	XP_018219324.1
DI49_4941	XP_018219325.1
DI49_4942	XP_018219326.1
DI49_4943	XP_018219327.1
DI49_4944	XP_018219328.1
DI49_4945	XP_018219329.1
DI49_4946	XP_018219330.1
DI49_4947	XP_018219331.1
DI49_4948	XP_018219332.1
DI49_4949	XP_018219333.1
DI49_4950	XP_018219334.1
DI49_4951	XP_018219335.1
DI49_4952	XP_018219336.1
DI49_4953	XP_018219337.1
DI49_4954	XP_018219338.1
DI49_4955	XP_018219339.1
DI49_4956	XP_018219340.1
DI49_4957	XP_018219341.1
DI49_4958	XP_018219342.1
DI49_4959	XP_018219343.1
DI49_4960	XP_018219344.1
DI49_4961	XP_018219345.1
DI49_4962	XP_018219346.1
DI49_4963	XP_018219347.1
DI49_4964	XP_018219348.1
DI49_4965	XP_018219349.1
DI49_4967	XP_018219350.1
DI49_4968	XP_018219351.1
DI49_4969	XP_018219352.1
DI49_4970	XP_018219353.1
DI49_4971	XP_018219354.1
DI49_4972	XP_018219355.1
DI49_4973	XP_018219356.1
DI49_4974	XP_018219357.1
DI49_4975	XP_018219358.1
DI49_4976	XP_018219359.1
DI49_4978	XP_018219360.1
DI49_4979	XP_018219361.1
DI49_4980	XP_018219362.1
DI49_4981	XP_018219363.1
DI49_4982	XP_018219364.1
DI49_4983	XP_018219365.1
DI49_4984	XP_018219366.1
DI49_4985	XP_018219367.1
DI49_4986	XP_018219368.1
DI49_4987	XP_018219369.1
DI49_4988	XP_018219370.1
DI49_4989	XP_018219371.1
DI49_4990	XP_018219372.1
DI49_4991	XP_018219373.1
DI49_4992	XP_018219374.1
DI49_4993	XP_018219375.1
DI49_4994	XP_018219376.1
DI49_4995	XP_018219377.1
DI49_4996	XP_018219378.1
DI49_4997	XP_018219379.1
DI49_4998	XP_018219380.1
DI49_4999	XP_018219381.1
DI49_5000	XP_018219382.1
DI49_5001	XP_018219383.1
DI49_5002	XP_018219384.1
DI49_5003	XP_018219385.1
DI49_5004	XP_018219386.1
DI49_5005	XP_018219387.1
DI49_5006	XP_018219388.1
DI49_5007	XP_018219389.1
DI49_5008	XP_018219390.1
DI49_5009	XP_018219391.1
DI49_5011	XP_018219392.1
DI49_5012	XP_018219393.1
DI49_5013	XP_018219394.1
DI49_5014	XP_018219395.1
DI49_5015	XP_018219396.1
DI49_5016	XP_018219397.1
DI49_5017	XP_018219398.1
DI49_5018	XP_018219399.1
DI49_5019	XP_018219400.1
DI49_5020	XP_018219401.1
DI49_5021	XP_018219402.1
DI49_5022	XP_018219403.1
DI49_5024	XP_018219404.1
DI49_5025	XP_018219405.1
DI49_5026	XP_018219406.1
DI49_5027	XP_018219407.1
DI49_5028	XP_018219408.1
DI49_5029	XP_018219409.1
DI49_5030	XP_018219410.1
DI49_5031	XP_018219411.1
DI49_5032	XP_018219412.1
DI49_5033	XP_018219413.1
DI49_5034	XP_018219414.1
DI49_5035	XP_018219415.1
DI49_5036	XP_018219416.1
DI49_5037	XP_018219417.1
DI49_5038	XP_018219418.1
DI49_5039	XP_018219419.1
DI49_5040	XP_018219420.1
DI49_5041	XP_018219421.1
DI49_5042	XP_018219422.1
DI49_5043	XP_018219423.1
DI49_5044	XP_018219424.1
DI49_5045	XP_018219425.1
DI49_5046	XP_018219426.1
DI49_5047	XP_018219427.1
DI49_5048	XP_018219428.1
DI49_5049	XP_018219429.1
DI49_5050	XP_018219430.1
DI49_5051	XP_018219431.1
DI49_5052	XP_018219432.1
DI49_5053	XP_018219433.1
DI49_5054	XP_018219434.1
DI49_5055	XP_018219435.1
DI49_5056	XP_018219436.1
DI49_5057	XP_018219437.1
DI49_5058	XP_018219438.1
DI49_5059	XP_018219439.1
DI49_5060	XP_018219440.1
DI49_5061	XP_018219441.1
DI49_5062	XP_018219442.1
DI49_5063	XP_018219443.1
DI49_5064	XP_018219444.1
DI49_5065	XP_018219445.1
DI49_5066	XP_018219446.1
DI49_5067	XP_018219447.1
DI49_5068	XP_018219448.1
DI49_5069	XP_018219449.1
DI49_5070	XP_018219450.1
DI49_5071	XP_018219451.1
DI49_5072	XP_018219452.1
DI49_5073	XP_018219453.1
DI49_5074	XP_018219454.1
DI49_5075	XP_018219455.1
DI49_5076	XP_018219456.1
DI49_5077	XP_018219457.1
DI49_5078	XP_018219458.1
DI49_5079	XP_018219459.1
DI49_5080	XP_018219460.1
DI49_5081	XP_018219461.1
DI49_5082	XP_018219462.1
DI49_5083	XP_018219463.1
DI49_5084	XP_018219464.1
DI49_5085	XP_018219465.1
DI49_5086	XP_018219466.1
DI49_5087	XP_018219467.1
DI49_5088	XP_018219468.1
DI49_5089	XP_018219469.1
DI49_5090	XP_018219470.1
DI49_5091	XP_018219471.1
DI49_5092	XP_018219472.1
DI49_5093	XP_018219473.1
DI49_5094	XP_018219474.1
DI49_5095	XP_018219475.1
DI49_5096	XP_018219476.1
DI49_5097	XP_018219477.1
DI49_5098	XP_018219478.1
DI49_5099	XP_018219479.1
DI49_5100	XP_018219480.1
DI49_5101	XP_018219481.1
DI49_5102	XP_018219482.1
DI49_5103	XP_018219483.1
DI49_5104	XP_018219484.1
DI49_5105	XP_018219485.1
DI49_5106	XP_018219486.1
DI49_5107	XP_018219487.1
DI49_5109	XP_018219488.1
DI49_5110	XP_018219489.1
DI49_5111	XP_018219490.1
DI49_5112	XP_018219491.1
DI49_5112	XP_018219491.1
DI49_5113	XP_018219492.1
DI49_5114	XP_018219493.1
DI49_5115	XP_018219494.1
DI49_5116	XP_018219495.1
DI49_5117	XP_018219496.1
DI49_5118	XP_018219497.1
DI49_5119	XP_018219498.1
DI49_5120	XP_018219499.1
DI49_5121	XP_070058212.1
DI49_5122	XP_018219500.1
DI49_5123	XP_018219501.1
DI49_5124	XP_018219502.1
DI49_5125	XP_018219503.1
DI49_5126	XP_018219504.1
DI49_5127	XP_018219505.1
DI49_5128	XP_018219506.1
DI49_5129	XP_018219507.1
DI49_5130	XP_018219508.1
DI49_5131	XP_018219509.1
DI49_5132	XP_018219510.1
DI49_5133	XP_018219511.1
DI49_5134	XP_018219512.1
DI49_5135	XP_018219513.1
DI49_5136	XP_018219514.1
DI49_5137	XP_018219515.1
DI49_5138	XP_018219516.1
DI49_5139	XP_018219517.1
DI49_5140	XP_018219518.1
DI49_5141	XP_018219519.1
DI49_5142	XP_018219520.1
DI49_5143	XP_018219521.1
DI49_5144	XP_018219522.1
DI49_5145	XP_018219523.1
DI49_5146	XP_018219524.1
DI49_5147	XP_018219525.1
DI49_5148	XP_018219526.1
DI49_5149	XP_018219527.1
DI49_5150	XP_018219528.1
DI49_5151	XP_018219529.1
DI49_5152	XP_018219530.1
DI49_5153	XP_018219531.1
DI49_5154	XP_018219532.1
DI49_5156	XP_018219533.1
DI49_5157	XP_018219534.1
DI49_5159	XP_018219535.1
DI49_5160	XP_018219536.1
DI49_5161	XP_018219537.1
DI49_5162	XP_018219538.1
DI49_5163	XP_018219539.1
DI49_5164	XP_018219540.1
DI49_5165	XP_018219541.1
DI49_5166	XP_018219542.1
DI49_5167	XP_018219543.1
DI49_5168	XP_018219544.1
DI49_5169	XP_018219545.1
DI49_5170	XP_018219546.1
DI49_5171	XP_018219547.1
DI49_5172	XP_018219548.1
DI49_5173	XP_018219549.1
DI49_5174	XP_018219550.1
DI49_5175	XP_018219551.1
DI49_5176	XP_018219552.1
DI49_5177	XP_018219553.1
DI49_5178	XP_018219554.1
DI49_5179	XP_018219555.1
DI49_5180	XP_018219556.1
DI49_5181	XP_018219557.1
DI49_5182	XP_018219558.1
DI49_5183	XP_018219559.1
DI49_5184	XP_018219560.1
DI49_5185	XP_018219561.1
DI49_5186	XP_018219562.1
DI49_5187	XP_018219563.1
DI49_5188	XP_018219564.1
DI49_5189	XP_018219565.1
DI49_5190	XP_018219566.1
DI49_5191	XP_018219567.1
DI49_5192	XP_018219568.1
DI49_2620	XP_018221456.1
DI49_2621	XP_018221457.1
DI49_2622	XP_018221458.1
DI49_2623	XP_018221459.1
DI49_2624	XP_018221460.1
DI49_2625	XP_018221461.1
DI49_2626	XP_018221462.1
DI49_2627	XP_018221463.1
DI49_2628	XP_018221464.1
DI49_2629	XP_018221465.1
DI49_2630	XP_018221466.1
DI49_2631	XP_018221467.1
DI49_2632	XP_018221468.1
DI49_2633	XP_018221469.1
DI49_2634	XP_018221470.1
DI49_2635	XP_018221471.1
DI49_2636	XP_018221472.1
DI49_2637	XP_018221473.1
DI49_2638	XP_018221474.1
DI49_2639	XP_018221475.1
DI49_2640	XP_018221476.1
DI49_2641	XP_018221477.1
DI49_2642	XP_018221478.1
DI49_2643	XP_018221479.1
DI49_2644	XP_018221480.1
DI49_2645	XP_018221481.1
DI49_2646	XP_018221482.1
DI49_2647	XP_018221483.1
DI49_2648	XP_018221484.1
DI49_2649	XP_018221485.1
DI49_2650	XP_018221486.1
DI49_2651	XP_018221487.1
DI49_2652	XP_018221488.1
DI49_2653	XP_018221489.1
DI49_2654	XP_018221490.1
DI49_2655	XP_018221491.1
DI49_2656	XP_018221492.1
DI49_2657	XP_018221493.1
DI49_2658	XP_018221494.1
DI49_2659	XP_018221495.1
DI49_2660	XP_018221496.1
DI49_2661	XP_018221497.1
DI49_2662	XP_018221498.1
DI49_2663	XP_018221499.1
DI49_2664	XP_018221500.1
DI49_2665	XP_018221501.1
DI49_2666	XP_018221502.1
DI49_2667	XP_018221503.1
DI49_2668	XP_018221504.1
DI49_2669	XP_018221505.1
DI49_2670	XP_018221506.1
DI49_2671	XP_018221507.1
DI49_2672	XP_018221508.1
DI49_2673	XP_018221509.1
DI49_2674	XP_018221510.1
DI49_2675	XP_018221511.1
DI49_2676	XP_018221512.1
DI49_2677	XP_018221513.1
DI49_2678	XP_018221514.1
DI49_2679	XP_018221515.1
DI49_2680	XP_018221516.1
DI49_2681	XP_018221517.1
DI49_2682	XP_018221518.1
DI49_2683	XP_018221519.1
DI49_2685	XP_018221520.1
DI49_2686	XP_018221521.1
DI49_2687	XP_018221522.1
DI49_2688	XP_018221523.1
DI49_2689	XP_018221524.1
DI49_2691	XP_018221525.1
DI49_2692	XP_018221526.1
DI49_2693	XP_018221527.1
DI49_2694	XP_018221528.1
DI49_2695	XP_018221529.1
