YAL068C	NP_009332.1
YGL251C	NP_011263.2
YGL251C	NP_011263.2
YGL250W	NP_011264.2
YGL249W	NP_011265.1
YGL248W	NP_011266.1
YGL247W	NP_011267.1
YGL246C	NP_011268.1
YGL245W	NP_011269.2
YGL244W	NP_011270.1
YGL243W	NP_011271.1
YGL242C	NP_011272.1
YGL241W	NP_011273.1
YGL240W	NP_011274.2
YGL238W	NP_011276.1
YGL237C	NP_011277.1
YGL236C	NP_011278.2
YGL235W	NP_011279.1
YGL234W	NP_011280.1
YGL233W	NP_011281.1
YGL232W	NP_011282.1
YGL232W	NP_011282.1
YGL231C	NP_011283.1
YGL230C	NP_011284.1
YGL229C	NP_011285.1
YGL228W	NP_011286.1
YGL227W	NP_011287.1
YGL226C-A	NP_011288.1
YGL226C-A	NP_011288.1
YGL226W	NP_011289.1
YGL225W	NP_011290.1
YGL224C	NP_011291.1
YGL223C	NP_011292.1
YGL222C	NP_011293.1
YGL221C	NP_011294.1
YGL220W	NP_011295.1
YGL219C	NP_011296.1
YGL216W	NP_011299.1
YGL215W	NP_011300.1
YGL213C	NP_011302.1
YGL212W	NP_011303.1
YGL211W	NP_011304.2
YGL210W	NP_011305.1
YGL209W	NP_011306.1
YGL208W	NP_011307.1
YGL207W	NP_011308.1
YGL206C	NP_011309.1
YGL205W	NP_011310.1
YGL204C	NP_001257675.1
YGL203C	NP_011312.1
YGL202W	NP_011313.1
YGL201C	NP_011314.2
YGL200C	NP_011315.3
YGL198W	NP_011317.2
YGL197W	NP_011318.2
YGL196W	NP_011319.2
YGL195W	NP_011320.3
YGL194C-A	NP_001032578.1
YGL194C	NP_011321.1
YGL193C	NP_011322.1
YGL192W	NP_011323.3
YGL191W	NP_011324.1
YGL190C	NP_011325.1
YGL189C	NP_011326.1
YGL188C-A	NP_878073.3
YGL187C	NP_011328.1
YGL186C	NP_011329.1
YGL185C	NP_011330.1
YGL184C	NP_011331.3
YGL183C	NP_011332.2
YGL183C	NP_011332.2
YGL181W	NP_011334.1
YGL180W	NP_011335.1
YGL179C	NP_011336.3
YGL178W	NP_011337.1
YGL178W	NP_011337.1
YGL176C	NP_011339.1
YGL175C	NP_011340.1
YGL174W	NP_011341.3
YGL173C	NP_011342.1
YGL172W	NP_011343.1
YGL171W	NP_011344.1
YGL170C	NP_011345.3
YGL169W	NP_011346.1
YGL168W	NP_011347.1
YGL167C	NP_011348.1
YGL166W	NP_011349.3
YGL164C	NP_011351.1
YGL163C	NP_011352.1
YGL162W	NP_011353.1
YGL161C	NP_011354.3
YGL160W	NP_011355.1
YGL159W	NP_011356.1
YGL158W	NP_011357.1
YGL157W	NP_011358.3
YGL156W	NP_011359.1
YGL155W	NP_011360.1
YGL154C	NP_011361.1
YGL153W	NP_011362.3
YGL151W	NP_011364.1
YGL150C	NP_011365.1
YGL149W	NP_001335775.1
YGL148W	NP_011367.1
YGL147C	NP_011368.3
YGL146C	NP_011369.1
YGL145W	NP_116577.1
YGL144C	NP_011371.1
YGL143C	NP_011372.3
YGL142C	NP_011373.1
YGL141W	NP_011374.1
YGL140C	NP_011375.1
YGL139W	NP_011376.3
YGL138C	NP_011377.1
YGL137W	NP_011378.1
YGL137W	NP_011378.1
YGL136C	NP_011379.1
YGL135W	NP_011380.3
YGL134W	NP_011381.1
YGL133W	NP_011382.1
YGL131C	NP_011384.1
YGL130W	NP_011385.3
YGL129C	NP_011386.2
YGL128C	NP_011387.2
YGL127C	NP_011388.1
YGL126W	NP_011389.3
YGL125W	NP_011390.2
YGL124C	NP_011391.2
YGL123W	NP_011392.1
YGL122C	NP_011393.3
YGL121C	NP_011394.1
YGL120C	NP_011395.1
YGL119W	NP_011396.1
YGL118C	NP_001335776.1
YGL117W	NP_011398.3
YGL116W	NP_011399.1
YGL115W	NP_011400.1
YGL114W	NP_011401.1
YGL113W	NP_011402.3
YGL112C	NP_011403.1
YGL111W	NP_011404.1
YGL110C	NP_011405.1
YGL108C	NP_011407.3
YGL107C	NP_011408.1
YGL106W	NP_011409.1
YGL105W	NP_011410.1
YGL104C	NP_011411.3
YGL103W	NP_011412.1
YGL103W	NP_011412.1
YGL101W	NP_011414.1
YGL100W	NP_011415.1
YGL099W	NP_011416.3
YGL098W	NP_011417.1
YGL097W	NP_011418.1
YGL096W	NP_011419.1
YGL095C	NP_011420.3
YGL094C	NP_011421.1
YGL093W	NP_011422.1
YGL092W	NP_011423.1
YGL091C	NP_011424.3
YGL090W	NP_011425.1
YGL089C	NP_011426.1
YGL088W	NP_001335777.1
YGL087C	NP_011428.1
YGL087C	NP_011428.1
YGL086W	NP_011429.3
YGL085W	NP_011430.1
YGL084C	NP_011431.1
YGL083W	NP_011432.1
YGL082W	NP_011433.3
YGL081W	NP_011434.1
YGL080W	NP_011435.1
YGL079W	NP_011436.1
YGL078C	NP_011437.3
YGL077C	NP_011438.1
YGL076C	NP_011439.1
YGL076C	NP_011439.1
YGL076C	NP_011439.1
YGL075C	NP_011440.1
YGL073W	NP_011442.3
YGL071W	NP_011444.1
YGL070C	NP_011445.1
YGL068W	NP_011447.1
YGL067W	NP_011448.3
YGL066W	NP_011449.1
YGL065C	NP_011450.1
YGL064C	NP_011451.1
YGL063W	NP_011452.4
YGL062W	NP_011453.1
YGL061C	NP_011454.1
YGL060W	NP_011455.1
YGL059W	NP_011456.5
YGL058W	NP_011457.1
YGL057C	NP_011458.1
YGL056C	NP_011459.2
YGL055W	NP_011460.3
YGL054C	NP_011461.1
YGL053W	NP_011462.1
YGL051W	NP_011464.1
YGL050W	NP_011465.3
YGL049C	NP_011466.1
YGL048C	NP_011467.1
YGL047W	NP_011468.1
YGL045W	NP_011470.4
YGL044C	NP_011471.1
YGL043W	NP_011472.1
YGL041C-B	NP_878074.1
YGL041W-A	NP_001106172.4
YGL040C	NP_011475.1
YGL039W	NP_011476.1
YGL038C	NP_011477.1
YGL037C	NP_011478.3
YGL036W	NP_011479.1
YGL035C	NP_011480.1
YGL034C	NP_001335778.1
YGL033W	NP_011482.3
YGL033W	NP_011482.3
YGL033W	NP_011482.3
YGL032C	NP_011483.3
YGL031C	NP_011484.1
YGL030W	NP_011485.1
YGL030W	NP_011485.1
YGL029W	NP_011486.1
YGL028C	NP_011487.3
YGL027C	NP_011488.1
YGL026C	NP_011489.1
YGL025C	NP_011490.2
YGL023C	NP_011492.3
YGL022W	NP_011493.1
YGL021W	NP_011494.1
YGL020C	NP_011495.1
YGL019W	NP_011496.3
YGL018C	NP_011497.1
YGL017W	NP_011498.1
YGL016W	NP_011499.1
YGL015C	NP_011500.3
YGL014W	NP_011501.1
YGL013C	NP_011502.1
YGL012W	NP_011503.1
YGL011C	NP_011504.3
YGL010W	NP_011505.1
YGL009C	NP_011506.1
YGL008C	NP_011507.1
YGL007C-A	NP_878075.3
YGL007W	NP_001335779.1
YGL006W-A	NP_878076.1
YGL006W	NP_011509.1
YGL005C	NP_011510.1
YGL004C	NP_011511.3
YGL003C	NP_011512.1
YGL002W	NP_011513.1
YGL001C	NP_011514.1
YGR001C	NP_011515.4
YGR001C	NP_011515.4
YGR001C	NP_011515.4
YGR002C	NP_011516.1
YGR003W	NP_011517.1
YGR004W	NP_011518.1
YGR005C	NP_011519.3
YGR006W	NP_011520.2
YGR007W	NP_011521.1
YGR008C	NP_011522.1
YGR009C	NP_011523.3
YGR010W	NP_011524.1
YGR012W	NP_011526.1
YGR013W	NP_011527.1
YGR014W	NP_011528.3
YGR015C	NP_011529.1
YGR016W	NP_011530.1
YGR016C-A	NP_001418068.1
YGR017W	NP_011531.1
YGR018C	NP_001257676.1
YGR019W	NP_011533.3
YGR020C	NP_011534.1
YGR021W	NP_011535.1
YGR023W	NP_011537.1
YGR024C	NP_011538.3
YGR025W	NP_001335780.1
YGR026W	NP_011540.3
YGR027C	NP_011541.1
YGR027W-B	NP_058158.1
YGR027W-B	NP_058158.1
YGR027W-A	NP_058159.1
YGR028W	NP_011542.3
YGR029W	NP_011543.4
YGR029W	NP_011543.4
YGR030C	NP_011544.1
YGR031W	NP_011545.1
YGR031C-A	NP_001027023.1
YGR032W	NP_011546.3
YGR033C	NP_011547.3
YGR034W	NP_011548.2
YGR034W	NP_011548.2
YGR035C	NP_011549.1
YGR035W-A	NP_878077.1
YGR036C	NP_011550.3
YGR037C	NP_011551.3
YGR038W	NP_011552.1
YGR038C-B	NP_058160.1
YGR038C-B	NP_058160.1
YGR038C-A	NP_058161.1
YGR039W	NP_001335781.1
YGR040W	NP_011554.3
YGR041W	NP_011555.3
YGR042W	NP_011556.1
YGR043C	NP_011557.1
YGR044C	NP_011558.1
YGR045C	NP_001335782.1
YGR046W	NP_011560.3
YGR047C	NP_011561.3
YGR048W	NP_011562.1
YGR049W	NP_011563.1
YGR050C	NP_001257677.1
YGR052W	NP_011566.1
YGR053C	NP_011567.3
YGR054W	NP_011568.3
YGR055W	NP_011569.1
YGR056W	NP_011570.1
YGR057C	NP_011571.4
YGR058W	NP_011572.2
YGR059W	NP_011573.3
YGR060W	NP_011574.3
YGR061C	NP_011575.1
YGR062C	NP_011576.1
YGR063C	NP_011577.3
YGR065C	NP_011579.1
YGR066C	NP_011580.3
YGR067C	NP_011581.4
YGR068C	NP_011582.1
YGR070W	NP_011584.2
YGR071C	NP_011585.3
YGR072W	NP_011586.1
YGR074W	NP_011588.3
YGR075C	NP_011589.3
YGR076C	NP_011590.1
YGR077C	NP_011591.1
YGR078C	NP_011592.3
YGR079W	NP_011593.1
YGR080W	NP_011594.3
YGR081C	NP_011595.3
YGR082W	NP_011596.1
YGR083C	NP_011597.1
YGR084C	NP_011598.3
YGR085C	NP_011599.1
YGR086C	NP_011600.3
YGR087C	NP_011601.3
YGR088W	NP_011602.2
YGR089W	NP_011603.1
YGR090W	NP_011604.3
YGR091W	NP_011605.1
YGR092W	NP_011606.3
YGR093W	NP_011607.3
YGR094W	NP_011608.1
YGR095C	NP_011609.2
YGR096W	NP_011610.3
YGR097W	NP_011611.1
YGR098C	NP_011612.3
YGR099W	NP_011613.3
YGR100W	NP_011614.1
YGR101W	NP_011615.1
YGR102C	NP_011616.3
YGR103W	NP_011617.1
YGR104C	NP_011618.3
YGR105W	NP_011619.3
YGR106C	NP_011620.1
YGR108W	NP_011622.1
YGR109C	NP_011623.3
YGR109W-B	NP_011624.1
YGR109W-B	NP_011624.1
YGR109W-A	NP_058162.3
YGR110W	NP_011625.3
YGR111W	NP_011626.1
YGR112W	NP_011627.1
YGR113W	NP_011628.4
YGR116W	NP_011631.1
YGR117C	NP_011632.3
YGR118W	NP_011633.3
YGR118W	NP_011633.3
YGR119C	NP_011634.1
YGR120C	NP_011635.2
YGR121C	NP_011636.3
YGR121W-A	NP_878078.1
YGR122W	NP_011637.3
YGR123C	NP_011639.3
YGR124W	NP_011640.1
YGR125W	NP_011641.1
YGR126W	NP_011642.3
YGR127W	NP_011643.1
YGR128C	NP_011644.3
YGR129W	NP_011645.3
YGR130C	NP_011646.1
YGR131W	NP_011647.1
YGR132C	NP_011648.3
YGR133W	NP_011649.1
YGR134W	NP_011650.3
YGR135W	NP_011651.3
YGR136W	NP_011652.1
YGR138C	NP_011654.1
YGR140W	NP_011656.3
YGR141W	NP_011657.1
YGR142W	NP_011658.3
YGR143W	NP_011659.3
YGR144W	NP_011660.1
YGR145W	NP_011661.2
YGR146C	NP_011662.3
YGR146C-A	NP_878079.1
YGR147C	NP_011663.3
YGR148C	NP_011664.3
YGR149W	NP_011665.1
YGR150C	NP_011666.1
YGR152C	NP_011668.3
YGR153W	NP_011669.2
YGR154C	NP_011670.3
YGR155W	NP_011671.3
YGR156W	NP_011672.1
YGR157W	NP_011673.1
YGR158C	NP_011674.3
YGR159C	NP_011675.1
YGR161C	NP_011677.3
YGR161W-C	NP_001018033.3
YGR161W-B	NP_058163.1
YGR161W-B	NP_058163.1
YGR161W-A	NP_058164.1
YGR161C-D	NP_058165.3
YGR161C-D	NP_058165.3
YGR161C-C	NP_058166.1
YGR162W	NP_011678.3
YGR163W	NP_011679.3
YGR164W	NP_001335783.1
YGR165W	NP_011681.1
YGR166W	NP_011682.1
YGR167W	NP_011683.3
YGR168C	NP_011684.1
YGR169C	NP_011685.3
YGR169C-A	NP_878080.3
YGR170W	NP_011686.1
YGR171C	NP_011687.1
YGR172C	NP_011688.3
YGR173W	NP_011689.1
YGR174C	NP_011690.3
YGR174W-A	NP_878081.3
YGR175C	NP_011691.1
YGR177C	NP_011693.1
YGR178C	NP_011694.3
YGR179C	NP_011695.1
YGR180C	NP_011696.3
YGR181W	NP_011697.3
YGR183C	NP_011699.1
YGR183C	NP_011699.1
YGR184C	NP_011700.1
YGR185C	NP_011701.3
YGR186W	NP_011702.1
YGR187C	NP_011703.3
YGR188C	NP_011704.3
YGR189C	NP_011705.1
YGR191W	NP_011707.1
YGR192C	NP_011708.3
YGR193C	NP_011709.1
YGR194C	NP_011710.3
YGR195W	NP_011711.3
YGR196C	NP_011712.1
YGR197C	NP_011713.1
YGR198W	NP_011714.3
YGR199W	NP_011715.1
YGR200C	NP_011716.3
YGR201C	NP_011717.4
YGR202C	NP_011718.1
YGR203W	NP_011719.1
YGR204W	NP_011720.3
YGR204C-A	NP_878082.1
YGR205W	NP_011721.3
YGR206W	NP_011722.3
YGR207C	NP_011723.1
YGR208W	NP_011724.1
YGR209C	NP_011725.3
YGR210C	NP_011726.1
YGR211W	NP_011727.3
YGR212W	NP_011728.3
YGR213C	NP_011729.1
YGR214W	NP_011730.1
YGR214W	NP_011730.1
YGR215W	NP_011731.3
YGR216C	NP_011732.1
YGR217W	NP_011733.3
YGR218W	NP_011734.3
YGR220C	NP_011736.1
YGR221C	NP_011737.2
YGR222W	NP_011738.3
YGR223C	NP_011739.1
YGR224W	NP_011740.3
YGR225W	NP_011741.5
YGR225W	NP_011741.5
YGR227W	NP_011743.2
YGR227C-A	NP_001382660.1
YGR229C	NP_011745.1
YGR230W	NP_011746.3
YGR231C	NP_011747.2
YGR232W	NP_011748.3
YGR233C	NP_011749.3
YGR234W	NP_011750.1
YGR235C	NP_011751.1
YGR236C	NP_011752.4
YGR237C	NP_011753.1
YGR238C	NP_011754.3
YGR239C	NP_011755.3
YGR240C	NP_011756.1
YGR240C-A	NP_878083.1
YGR241C	NP_011757.3
YGR243W	NP_011759.1
YGR244C	NP_011760.3
YGR245C	NP_011761.3
YGR246C	NP_011762.1
YGR247W	NP_011763.1
YGR248W	NP_011764.3
YGR249W	NP_011765.1
YGR250C	NP_011766.3
YGR251W	NP_011767.3
YGR252W	NP_011768.1
YGR253C	NP_011769.1
YGR254W	NP_011770.3
YGR255C	NP_011771.1
YGR256W	NP_011772.3
YGR257C	NP_011773.3
YGR258C	NP_011774.1
YGR260W	NP_011776.1
YGR261C	NP_011777.3
YGR262C	NP_011778.1
YGR263C	NP_011779.3
YGR264C	NP_011780.3
YGR266W	NP_011782.1
YGR267C	NP_011783.1
YGR268C	NP_011784.3
YGR270W	NP_011786.1
YGR271W	NP_011787.4
YGR271C-A	NP_076891.4
YGR273C	NP_011789.1
YGR274C	NP_011790.1
YGR275W	NP_011791.4
YGR276C	NP_011792.1
YGR277C	NP_011793.3
YGR278W	NP_011794.3
YGR279C	NP_011795.1
YGR280C	NP_011796.1
YGR281W	NP_011797.3
YGR282C	NP_011798.1
YGR283C	NP_011799.3
YGR284C	NP_011800.3
YGR285C	NP_011801.1
YGR286C	NP_011802.1
YGR287C	NP_011803.3
YGR288W	NP_011804.1
YGR289C	NP_011805.3
YGR292W	NP_011808.3
YGR294W	NP_011810.1
YGR295C	NP_011811.1
YGR296W	NP_011812.3
YGR296W	NP_011812.3
YHL050C	NP_011813.1
YHL050C	NP_011813.1
YHL049C	NP_011814.1
YHL048C-A	NP_878084.1
YHL048W	NP_011815.1
YHL047C	NP_011816.2
YHL046C	NP_011817.1
YHL045W	NP_001403028.1
YHL044W	NP_011819.1
YHL043W	NP_011820.1
YHL042W	NP_011821.1
YHL041W	NP_001335736.1
YHL040C	NP_011823.1
YHL039W	NP_011824.1
YHL038C	NP_011825.1
YHL037C	NP_001335737.1
YHL036W	NP_011827.1
YHL035C	NP_011828.1
YHL034C	NP_011829.1
YHL033C	NP_011830.1
YHL032C	NP_011831.1
YHL031C	NP_011832.1
YHL030W	NP_011833.1
YHL029C	NP_011834.1
YHL028W	NP_011835.1
YHL027W	NP_011836.1
YHL026C	NP_011837.2
YHL025W	NP_011838.1
YHL024W	NP_011839.1
YHL023C	NP_011840.1
YHL022C	NP_011841.1
YHL021C	NP_011842.1
YHL020C	NP_011843.1
YHL019C	NP_011844.1
YHL018W	NP_011845.1
YHL017W	NP_011846.1
YHL016C	NP_011847.1
YHL015W-A	NP_878085.1
YHL015W	NP_011848.1
YHL014C	NP_011849.1
YHL013C	NP_011850.1
YHL012W	NP_011851.1
YHL011C	NP_011852.1
YHL010C	NP_011853.1
YHL009C	NP_011854.1
YHL009W-B	NP_058133.1
YHL009W-B	NP_058133.1
YHL009W-A	NP_058134.1
YHL008C	NP_011855.1
YHL007C	NP_011856.1
YHL006C	NP_011857.2
YHL005C	NP_001335738.1
YHL004W	NP_011859.1
YHL003C	NP_011860.1
YHL002W	NP_011861.1
YHL001W	NP_011862.1
YHL001W	NP_011862.1
YHR001W	NP_011863.1
YHR001W-A	NP_011864.1
YHR001W-A	NP_011864.1
YHR002W	NP_011865.1
YHR003C	NP_011866.1
YHR004C	NP_011867.1
YHR005C	NP_011868.1
YHR005C-A	NP_011869.1
YHR006W	NP_011870.1
YHR007C	NP_011871.1
YHR007C-A	NP_878086.1
YHR008C	NP_011872.1
YHR009C	NP_011873.1
YHR010W	NP_011874.1
YHR010W	NP_011874.1
YHR011W	NP_011875.1
YHR012W	NP_011876.1
YHR012W	NP_011876.1
YHR013C	NP_011877.1
YHR014W	NP_011878.1
YHR015W	NP_011879.1
YHR016C	NP_011880.1
YHR016C	NP_011880.1
YHR017W	NP_011881.1
YHR018C	NP_011882.1
YHR019C	NP_011883.1
YHR020W	NP_011884.1
YHR021C	NP_011885.1
YHR021C	NP_011885.1
YHR021W-A	NP_011886.1
YHR022C	NP_011887.1
YHR022C-A	NP_878087.1
YHR023W	NP_011888.1
YHR024C	NP_011889.1
YHR025W	NP_011890.1
YHR026W	NP_011891.1
YHR027C	NP_011892.1
YHR028C	NP_011893.1
YHR029C	NP_011894.1
YHR030C	NP_011895.1
YHR031C	NP_011896.1
YHR032W	NP_011897.1
YHR033W	NP_011898.1
YHR034C	NP_011899.1
YHR035W	NP_011900.1
YHR036W	NP_011901.1
YHR037W	NP_011902.1
YHR038W	NP_011903.1
YHR039C	NP_011904.1
YHR039C-A	NP_011905.1
YHR039C-A	NP_011905.1
YHR040W	NP_011906.1
YHR041C	NP_011907.1
YHR041C	NP_011907.1
YHR042W	NP_011908.1
YHR043C	NP_011909.1
YHR044C	NP_011910.1
YHR045W	NP_011911.1
YHR046C	NP_011912.1
YHR047C	NP_011913.1
YHR048W	NP_011914.1
YHR049W	NP_011915.1
YHR050W	NP_011917.1
YHR050W-A	NP_878088.1
YHR051W	NP_011918.1
YHR052W	NP_011919.1
YHR052C-B	NP_001381960.1
YHR053C	NP_011922.1
YHR054C	NP_011921.1
YHR054C-B	NP_001381961.1
YHR055C	NP_011920.1
YHR056C	NP_011923.2
YHR057C	NP_011924.1
YHR058C	NP_011925.1
YHR059W	NP_011926.1
YHR060W	NP_011927.1
YHR061C	NP_011928.1
YHR062C	NP_011929.1
YHR063C	NP_011930.1
YHR064C	NP_011931.2
YHR065C	NP_011932.2
YHR066W	NP_011933.1
YHR067W	NP_011934.1
YHR068W	NP_011935.1
YHR069C	NP_011936.1
YHR070W	NP_011937.1
YHR071W	NP_011938.1
YHR072W	NP_011939.2
YHR072W-A	NP_058135.1
YHR073W	NP_011940.1
YHR074W	NP_011941.1
YHR075C	NP_011942.1
YHR076W	NP_011943.2
YHR076W	NP_011943.2
YHR077C	NP_011944.2
YHR077C	NP_011944.2
YHR078W	NP_011945.1
YHR079C	NP_011946.1
YHR079C-A	NP_011947.2
YHR079C-A	NP_011947.2
YHR080C	NP_011948.1
YHR081W	NP_011949.1
YHR082C	NP_011950.1
YHR083W	NP_011951.1
YHR084W	NP_011952.1
YHR085W	NP_011953.1
YHR086W	NP_011954.1
YHR086W-A	NP_878089.1
YHR087W	NP_011955.1
YHR088W	NP_011956.1
YHR089C	NP_011957.1
YHR090C	NP_011958.1
YHR091C	NP_011959.1
YHR092C	NP_011960.2
YHR093W	NP_001335739.1
YHR094C	NP_011962.1
YHR096C	NP_011964.1
YHR097C	NP_011965.1
YHR097C	NP_011965.1
YHR098C	NP_011966.1
YHR099W	NP_011967.1
YHR100C	NP_011968.1
YHR101C	NP_011969.1
YHR101C	NP_011969.1
YHR102W	NP_011970.1
YHR103W	NP_011971.1
YHR104W	NP_011972.1
YHR105W	NP_011973.1
YHR106W	NP_011974.1
YHR107C	NP_011975.1
YHR108W	NP_011976.1
YHR109W	NP_011977.1
YHR110W	NP_011978.1
YHR111W	NP_011979.1
YHR112C	NP_011980.1
YHR113W	NP_011981.1
YHR114W	NP_011982.1
YHR115C	NP_011983.1
YHR116W	NP_011984.1
YHR117W	NP_011985.1
YHR118C	NP_011986.1
YHR119W	NP_011987.1
YHR120W	NP_011988.1
YHR121W	NP_011989.1
YHR122W	NP_011990.1
YHR123W	NP_011991.1
YHR123W	NP_011991.1
YHR124W	NP_011992.1
YHR125W	NP_001335740.1
YHR126C	NP_011994.1
YHR127W	NP_011995.1
YHR128W	NP_011996.2
YHR129C	NP_011997.1
YHR130C	NP_001335741.1
YHR131C	NP_011999.2
YHR132C	NP_012000.1
YHR132W-A	NP_036194.1
YHR133C	NP_012001.1
YHR134W	NP_012002.1
YHR135C	NP_012003.1
YHR136C	NP_012004.1
YHR137W	NP_012005.1
YHR138C	NP_012006.1
YHR139C	NP_012007.1
YHR139C-A	NP_001335742.1
YHR140W	NP_012009.1
YHR141C	NP_012010.1
YHR141C	NP_012010.1
YHR142W	NP_012011.1
YHR143W	NP_012012.1
YHR143W-A	NP_012013.1
YHR144C	NP_012014.1
YHR146W	NP_012016.1
YHR147C	NP_012017.1
YHR148W	NP_012018.1
YHR149C	NP_012019.1
YHR150W	NP_012020.1
YHR151C	NP_012021.1
YHR152W	NP_012022.1
YHR153C	NP_012023.1
YHR154W	NP_012024.1
YHR155W	NP_012025.1
YHR156C	NP_012026.1
YHR157W	NP_012027.1
YHR158C	NP_012028.1
YHR159W	NP_012029.1
YHR160C	NP_012030.1
YHR161C	NP_012031.1
YHR162W	NP_012032.1
YHR163W	NP_012033.2
YHR164C	NP_012034.1
YHR165C	NP_012035.1
YHR166C	NP_012036.1
YHR167W	NP_012037.1
YHR168W	NP_012038.2
YHR169W	NP_012039.1
YHR170W	NP_012040.1
YHR171W	NP_012041.1
YHR172W	NP_012042.1
YHR173C	NP_001257667.1
YHR174W	NP_012044.1
YHR175W	NP_012045.3
YHR175W-A	NP_878090.1
YHR176W	NP_012046.4
YHR177W	NP_012047.1
YHR178W	NP_012048.3
YHR179W	NP_012049.1
YHR180W	NP_001335743.1
YHR181W	NP_012051.3
YHR182W	NP_012052.1
YHR183W	NP_012053.3
YHR184W	NP_012054.1
YHR185C	NP_012055.3
YHR186C	NP_012056.1
YHR187W	NP_012057.3
YHR188C	NP_012058.1
YHR189W	NP_012059.3
YHR190W	NP_012060.1
YHR191C	NP_012061.3
YHR192W	NP_012062.1
YHR193C	NP_012063.3
YHR194W	NP_012064.1
YHR195W	NP_012065.3
YHR196W	NP_012066.1
YHR197W	NP_012067.4
YHR198C	NP_012068.1
YHR199C	NP_012069.3
YHR199C-A	NP_976247.1
YHR199C-A	NP_976247.1
YHR200W	NP_012070.3
YHR201C	NP_012071.1
YHR202W	NP_012072.3
YHR203C	NP_012073.1
YHR203C	NP_012073.1
YHR204W	NP_012074.3
YHR205W	NP_012075.1
YHR206W	NP_012076.3
YHR207C	NP_012077.1
YHR208W	NP_012078.3
YHR209W	NP_012079.1
YHR210C	NP_012080.3
YHR211W	NP_012081.1
YHR212W-A	NP_878091.3
YHR213W	NP_012083.1
YHR213W-A	NP_878092.3
YHR213W-B	NP_878093.1
YHR214W	NP_012084.3
YHR214C-B	NP_012086.1
YHR214C-B	NP_012086.1
YHR214C-C	NP_036195.3
YHR214C-D	NP_878094.1
YHR214C-E	NP_878095.3
YHR215W	NP_012087.1
YHR216W	NP_012088.3
YHR218W	NP_012090.1
YHR218W	NP_012090.1
YHR219W	NP_012091.3
YIL177C	NP_012092.1
YIL177C	NP_012092.1
YIL176C	NP_012093.1
YIL173W	NP_012095.1
YIL172C	NP_012096.1
YIL169C	NP_012097.1
YIL166C	NP_012100.1
YIL165C	NP_012101.1
YIL164C	NP_012102.1
YIL163C	NP_001257678.1
YIL162W	NP_012104.1
YIL161W	NP_012105.1
YIL160C	NP_012106.1
YIL159W	NP_012107.1
YIL158W	NP_012108.3
YIL157C	NP_012109.1
YIL156W-B	NP_001027534.1
YIL156W-B	NP_001027534.1
YIL156W	NP_012110.1
YIL155C	NP_012111.1
YIL154C	NP_012112.3
YIL153W	NP_012113.1
YIL152W	NP_012114.1
YIL151C	NP_012115.1
YIL150C	NP_012116.1
YIL149C	NP_012117.3
YIL148W	NP_012118.1
YIL148W	NP_012118.1
YIL147C	NP_012119.1
YIL146C	NP_012120.1
YIL145C	NP_012121.2
YIL144W	NP_012122.3
YIL143C	NP_012123.1
YIL142W	NP_012124.1
YIL140W	NP_012126.1
YIL139C	NP_012127.1
YIL138C	NP_012128.3
YIL137C	NP_012129.1
YIL136W	NP_012130.1
YIL135C	NP_012131.1
YIL134C-A	NP_878096.1
YIL134W	NP_012132.3
YIL133C	NP_012133.1
YIL133C	NP_012133.1
YIL132C	NP_012134.1
YIL131C	NP_012135.1
YIL130W	NP_012136.1
YIL129C	NP_012137.3
YIL128W	NP_012138.1
YIL127C	NP_012139.1
YIL126W	NP_012140.1
YIL125W	NP_012141.1
YIL124W	NP_012142.3
YIL123W	NP_012143.2
YIL122W	NP_012144.1
YIL121W	NP_012145.1
YIL120W	NP_012146.1
YIL119C	NP_012147.3
YIL118W	NP_012148.1
YIL117C	NP_012149.1
YIL116W	NP_012150.1
YIL115C	NP_012151.1
YIL114C	NP_012152.3
YIL113W	NP_012153.1
YIL112W	NP_012154.1
YIL111W	NP_012155.1
YIL111W	NP_012155.1
YIL110W	NP_012156.1
YIL109C	NP_012157.3
YIL108W	NP_012158.1
YIL107C	NP_012159.1
YIL106W	NP_012160.2
YIL106W	NP_012160.2
YIL105C	NP_012161.1
YIL105W-A	NP_001257679.1
YIL104C	NP_012162.3
YIL103W	NP_012163.1
YIL102C-A	NP_001032579.1
YIL102C	NP_012164.1
YIL101C	NP_012165.1
YIL099W	NP_012167.3
YIL098C	NP_012168.3
YIL097W	NP_012169.1
YIL096C	NP_012170.1
YIL095W	NP_012171.1
YIL094C	NP_012172.1
YIL093C	NP_012173.3
YIL092W	NP_012174.3
YIL091C	NP_012175.1
YIL090W	NP_012176.1
YIL089W	NP_012177.1
YIL088C	NP_012178.1
YIL087C	NP_012179.3
YIL086C	NP_001335784.1
YIL085C	NP_012181.3
YIL084C	NP_012182.1
YIL083C	NP_012183.2
YIL082W-A	NP_012184.1
YIL082W-A	NP_012184.1
YIL079C	NP_012186.1
YIL078W	NP_116578.3
YIL077C	NP_012188.3
YIL076W	NP_012189.2
YIL075C	NP_012190.1
YIL074C	NP_012191.1
YIL073C	NP_012192.2
YIL073C	NP_012192.2
YIL072W	NP_012193.3
YIL071C	NP_085069.3
YIL070C	NP_012194.1
YIL069C	NP_012195.1
YIL069C	NP_012195.1
YIL068C	NP_012196.1
YIL067C	NP_012197.1
YIL066C	NP_012198.3
YIL065C	NP_012199.3
